# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       3.310        0.000       64.523      343.340
       3.317      143.200       64.523      343.340
       3.324        0.000       64.523      343.340
       3.330        0.000       64.523      343.340
       3.337        0.000       64.523      343.340
       3.345        0.000       64.523      343.688
       3.352        0.000       64.523      343.688
       3.359        0.000       64.523      343.688
       3.366        0.000       64.523      343.688
       3.373        0.000       64.523      343.688
       3.381        0.000       64.523      343.688
       3.389        0.000       64.523      343.688
       3.398        0.000       64.523      343.688
       3.405        0.000       64.523      343.688
       3.412        0.000       64.523      343.688
       3.419        0.000       64.523      343.688
       3.426        0.000       64.523      343.688
       3.433        0.000       64.523      343.688
       3.440        0.000       64.523      343.688
       3.447        0.000       64.523      343.688
       3.454        0.000       64.523      343.688
       3.460        0.000       64.523      343.688
       3.467        0.000       64.523      343.688
       3.474        0.000       64.523      343.688
       3.481        0.000       64.523      343.688
       3.488        0.000       64.523      343.688
       3.495        0.000       64.523      343.688
       3.502        0.000       64.523      343.688
       3.508        0.000       64.523      343.688
       3.515        0.000       64.523      343.688
       3.522        0.000       64.523      343.688
       3.528        0.000       64.523      343.688
       3.535        0.000       64.523      343.688
       3.541        0.000       64.523      343.688
       3.547        0.000       64.523      343.688
       3.553        0.000       64.523      343.688
       3.560        0.000       64.523      343.688
       3.566        0.000       64.523      343.688
       3.572        0.000       64.523      343.688
       3.580        0.000       64.734      343.688
       3.586        0.000       64.734      343.688
       3.593      151.300       64.734      343.688
       3.599        0.000       64.734      343.688
       3.606        0.000       64.734      343.688
       3.612        0.000       64.734      343.688
       3.619        0.000       64.734      343.688
       3.626        0.000       64.734      343.688
       3.633        0.000       64.734      343.688
       3.639        0.000       64.734      343.688
       3.648        0.000       64.734      343.688
       3.658        0.000       64.734      343.688
       3.665        0.000       64.734      343.688
       3.672        0.000       64.734      343.688
       3.678        0.000       64.734      343.688
       3.685        0.000       64.734      343.688
       3.692        0.000       64.734      343.688
       3.699      145.800       64.734      343.688
       3.705        0.000       64.734      343.688
       3.712        0.000       64.734      343.688
       3.718        0.000       64.734      343.688
       3.724        0.000       64.734      343.688
       3.731        0.000       64.734      343.688
       3.737        0.000       64.734      343.688
       3.744        0.000       64.734      343.688
       3.750        0.000       64.734      343.688
       3.756        0.000       64.734      343.688
       3.763        0.000       64.734      343.688
       3.769        0.000       64.734      343.688
       3.775        0.000       64.734      343.688
       3.782        0.000       64.734      343.688
       3.789        0.000       64.734      343.688
       3.795        0.000       64.734      343.688
       3.802        0.000       64.734      343.688
       3.808        0.000       64.734      343.688
       3.814      156.800       64.734      343.688
       3.821        0.000       64.734      343.688
       3.827        0.000       64.734      343.688
       3.833        0.000       64.734      343.688
       3.840        0.000       64.734      343.688
       3.847        0.000       64.734      343.688
       3.854        0.000       64.734      343.688
       3.863        0.000       64.734      343.688
       3.873        0.000       64.734      343.688
       3.882        0.000       64.734      343.688
       3.889        0.000       64.734      343.688
       3.897        0.000       64.734      343.688
       3.908        0.000       64.734      343.688
       3.917        0.000       64.734      343.688
       3.924        0.000       64.734      343.688
       3.930        0.000       64.734      343.688
       3.936        0.000       64.734      343.688
       3.943      153.700       64.734      343.688
       3.950        0.000       64.734      343.688
       3.956        0.000       64.734      343.688
       3.963        0.000       64.734      343.688
       3.970        0.000       64.734      343.688
       3.978        0.000       64.734      343.688
       3.986        0.000       64.734      343.688
       3.994        0.000       64.734      343.688
       4.003        0.000       64.734      343.688
       4.011        0.000       64.734      343.688
       4.019        0.000       64.734      343.688
       4.026        0.000       64.734      343.688
       4.036        0.000       64.734      343.688
       4.044        0.000       64.734      343.688
       4.054        0.000       64.734      343.688
       4.064        0.000       64.734      343.688
       4.071      125.700       64.734      343.688
       4.079        0.000       64.734      343.688
       4.086        0.000       64.734      343.688
       4.092        0.000       64.734      343.688
       4.099        0.000       64.734      343.688
       4.106        0.000       64.734      343.688
       4.113        0.000       64.734      343.688
       4.120        0.000       64.734      343.688
       4.126        0.000       64.734      343.688
       4.133        0.000       64.734      343.688
       4.140        0.000       64.734      343.688
       4.146        0.000       64.734      343.688
       4.153        0.000       64.734      343.688
       4.162        0.000       64.734      343.688
       4.172        0.000       64.734      343.688
